video_id,channel_id,published_date,video_title,video_description,likes,views,comment_count
u1YKQV9OE1I,UCbqcG1rdt9LMwOJN4PyGTKg,2012-05-15T09:33:13Z,Hero - Mariah Carey | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/mariah-carey/hero.html

Sing Online: https://www.karafun.com/karaoke/mariah-carey/hero/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Hero as made famous by Mariah Carey - This version is not the original version, and is not performed by Mariah Carey. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Mariah Carey",17165,9309591,348
Z-OLGoSmYWo,UCbqcG1rdt9LMwOJN4PyGTKg,2012-05-22T11:52:08Z,I Have Nothing - The Bodyguard (Whitney Houston) | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-bodyguard/i-have-nothing.html

Sing Online: https://www.karafun.com/karaoke/the-bodyguard/i-have-nothing/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of I Have Nothing as made famous by The Bodyguard (Whitney Houston) - This version is not the original version, and is not performed by The Bodyguard (Whitney Houston). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Bodyguard (Whitney Houston)",15459,8278798,506
UBsm8hq_r2A,UCbqcG1rdt9LMwOJN4PyGTKg,2011-11-29T15:06:45Z,Elle me dit - Mika | Karaoke Version | KaraFun,"Télécharger MP3 : https://www.version-karaoke.fr/playback-mp3/mika/elle-me-dit.html

Chanter en ligne : https://www.karafun.fr/karaoke/mika/elle-me-dit/


* Cette version contient un guide vocal d'apprentissage à faible volume. La version karaoké sans guide vocal est disponible sur www.karafun.fr. Cet enregistrement est une reprise de Elle me dit rendu célèbre par Mika - Le titre proposé est un Playback et non la musique originale, il n'est pas chanté par Mika. Cette version instrumentale/playback contient un guide vocal, les paroles et les choeurs.


Toutes les œuvres utilisées sur les chaînes KaraFun sont exploitées sous licence en accord avec les détenteurs de droits (composition musicale, ré-enregistrement sonore).

#karafun #karaoke #Mika",30868,8449758,1427
cJ-tBdK2d0k,UCbqcG1rdt9LMwOJN4PyGTKg,2012-01-02T14:17:38Z,House of the Rising Sun - The Animals | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-animals/house-of-the-rising-sun.html

Sing Online: https://www.karafun.com/karaoke/the-animals/house-of-the-rising-sun/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of House of the Rising Sun as made famous by The Animals - This version is not the original version, and is not performed by The Animals. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Animals",26046,9840815,597
7GyxwQHNfYQ,UCbqcG1rdt9LMwOJN4PyGTKg,2012-04-03T07:49:20Z,Tears in Heaven - Eric Clapton | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/eric-clapton/tears-in-heaven.html

Sing Online: https://www.karafun.com/karaoke/eric-clapton/tears-in-heaven/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Tears in Heaven as made famous by Eric Clapton - This version is not the original version, and is not performed by Eric Clapton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Eric Clapton",23888,10851322,454
eJKDa22mSdQ,UCbqcG1rdt9LMwOJN4PyGTKg,2014-11-26T10:08:06Z,Love Me With All Your Heart - Engelbert Humperdinck | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/engelbert-humperdinck/love-me-with-all-your-heart.html

Sing Online: https://www.karafun.com/karaoke/engelbert-humperdinck/love-me-with-all-your-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Love Me With All Your Heart as made famous by Engelbert Humperdinck - This version is not the original version, and is not performed by Engelbert Humperdinck. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Engelbert Humperdinck",45352,27290301,372
DcmhqGrO1NU,UCbqcG1rdt9LMwOJN4PyGTKg,2015-07-10T08:53:04Z,I Just Fall In Love Again - Anne Murray | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/anne-murray/i-just-fall-in-love-again.html

Sing Online: https://www.karafun.com/karaoke/anne-murray/i-just-fall-in-love-again/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of I Just Fall In Love Again as made famous by Anne Murray - This version is not the original version, and is not performed by Anne Murray. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Anne Murray",35108,20823931,299
zf2V3HG6YgU,UCbqcG1rdt9LMwOJN4PyGTKg,2013-07-26T11:25:56Z,Can't Take My Eyes Off You - Frankie Valli & The Four Seasons | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/frankie-valli-and-the-four-seasons/can-t-take-my-eyes-off-you.html

Sing Online: https://www.karafun.com/karaoke/frankie-valli-and-the-four-seasons/can-t-take-my-eyes-off-you/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Can't Take My Eyes Off You as made famous by Frankie Valli & The Four Seasons - This version is not the original version, and is not performed by Frankie Valli & The Four Seasons. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Frankie Valli & The Four Seasons",35008,10367772,303
-dCVUUVX8uw,UCbqcG1rdt9LMwOJN4PyGTKg,2014-03-31T09:12:13Z,Unbreak My Heart - Toni Braxton | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/toni-braxton/unbreak-my-heart.html

Sing Online: https://www.karafun.com/karaoke/toni-braxton/unbreak-my-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Unbreak My Heart as made famous by Toni Braxton - This version is not the original version, and is not performed by Toni Braxton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Toni Braxton",29401,10893138,383
-RdNw43s40s,UCbqcG1rdt9LMwOJN4PyGTKg,2012-01-23T12:57:25Z,Careless Whisper - George Michael (Wham!) | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/george-michael/careless-whisper.html

Sing Online: https://www.karafun.com/karaoke/george-michael/careless-whisper/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Careless Whisper as made famous by George Michael (Wham!) - This version is not the original version, and is not performed by George Michael (Wham!). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #George Michael (Wham!)",20388,8705929,304
v1fLdvLaWV0,UCbqcG1rdt9LMwOJN4PyGTKg,2012-07-05T08:59:29Z,Summertime Sadness - Lana Del Rey | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/lana-del-rey/summertime-sadness.html

Sing Online: https://www.karafun.com/karaoke/lana-del-rey/summertime-sadness/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Summertime Sadness as made famous by Lana Del Rey - This version is not the original version, and is not performed by Lana Del Rey. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Lana Del Rey",33093,7133195,678
XHlgt1JwZmc,UCbqcG1rdt9LMwOJN4PyGTKg,2013-10-18T11:18:03Z,My Immortal - Evanescence | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/evanescence/my-immortal.html

Sing Online: https://www.karafun.com/karaoke/evanescence/my-immortal/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of My Immortal as made famous by Evanescence - This version is not the original version, and is not performed by Evanescence. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Evanescence",19208,6584001,496
c6gmlJNIuQc,UCbqcG1rdt9LMwOJN4PyGTKg,2013-09-04T12:12:11Z,Wonderful Tonight - Eric Clapton | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/eric-clapton/wonderful-tonight.html

Sing Online: https://www.karafun.com/karaoke/eric-clapton/wonderful-tonight/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Wonderful Tonight as made famous by Eric Clapton - This version is not the original version, and is not performed by Eric Clapton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Eric Clapton",29832,15128139,260
MOq2venhZZo,UCbqcG1rdt9LMwOJN4PyGTKg,2013-07-26T11:27:16Z,Karaoke Yo no sé mañana (salsa) - Luis Enrique *,"Descargar MP3: https://www.version-karaoke.es/playbacks/luis-enrique/yo-no-se-manana-salsa.html

Cantar Online: https://www.karafun.es/karaoke/luis-enrique/yo-no-se-manana-salsa/


* Esta versión contiene una guía vocal con bajo volumen. La versión con y sin la guía vocal está disponible en www.karafun.es. Esta grabación es una versión de Yo no sé mañana (salsa) hecha famosa por Luis Enrique - El título propuesto es una pista de fondo, no es la música original, no es cantada por Luis Enrique. Esta versión instrumental/reproducción contiene una guía vocal, las letras y las voces.


Todos los activos de los canales de KaraFun se utilizan con permiso mediante un acuerdo de licencia con los titulares de los derechos (composición musical, regrabado de sonido).

#karafun #karaoke #Luis Enrique",11840,7487242,123
Fl388or5BuU,UCbqcG1rdt9LMwOJN4PyGTKg,2015-03-24T10:06:30Z,A Whole New World - Aladdin | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/aladdin-1992-film/a-whole-new-world-aladdin-s-theme.html

Sing Online: https://www.karafun.com/karaoke/aladdin-1992-film/a-whole-new-world-aladdin-s-theme/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of A Whole New World (Aladdin's Theme) as made famous by Aladdin (1992 film) (Peabo Bryson & Regina Belle) - This version is not the original version, and is not performed by Aladdin (1992 film) (Peabo Bryson & Regina Belle). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Aladdin (1992 film) (Peabo Bryson & Regina Belle)",24783,8672776,428
WSaLYhq-gD4,UCbqcG1rdt9LMwOJN4PyGTKg,2011-11-22T14:45:46Z,Rolling in the Deep (acoustic - live at Largo) - Adele | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/adele/rolling-in-the-deep-acoustic.html

Sing Online: https://www.karafun.com/karaoke/adele/rolling-in-the-deep-acoustic/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Rolling in the Deep (acoustic - live at Largo) as made famous by Adele - This version is not the original version, and is not performed by Adele. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Adele",13335,6149467,373
QZBCabZh3K0,UCbqcG1rdt9LMwOJN4PyGTKg,2012-01-25T13:23:24Z,The Power of Love - Céline Dion | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/celine-dion/the-power-of-love.html

Sing Online: https://www.karafun.com/karaoke/celine-dion/the-power-of-love/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of The Power of Love as made famous by Céline Dion - This version is not the original version, and is not performed by Céline Dion. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Céline Dion",18569,8352051,201
0ukH4rBQE48,UCbqcG1rdt9LMwOJN4PyGTKg,2013-08-06T11:37:06Z,Let Her Go - Passenger | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/passenger/let-her-go.html

Sing Online: https://www.karafun.com/karaoke/passenger/let-her-go/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Let Her Go as made famous by Passenger - This version is not the original version, and is not performed by Passenger. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Passenger",20778,5771778,479
4C7Fmg3_mkw,UCbqcG1rdt9LMwOJN4PyGTKg,2011-11-25T13:20:08Z,Every Breath You Take - The Police | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-police/every-breath-you-take.html

Sing Online: https://www.karafun.com/karaoke/the-police/every-breath-you-take/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Every Breath You Take as made famous by The Police - This version is not the original version, and is not performed by The Police. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Police",10988,6206016,206
NMUFavYTN1o,UCbqcG1rdt9LMwOJN4PyGTKg,2012-01-11T13:56:29Z,Lemon Tree - Fool's Garden | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/fool-s-garden/lemon-tree.html

Sing Online: https://www.karafun.com/karaoke/fool-s-garden/lemon-tree/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Lemon Tree as made famous by Fool's Garden - This version is not the original version, and is not performed by Fool's Garden. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Fool's Garden",45993,10888853,901
IF2JAN9sDLg,UCbqcG1rdt9LMwOJN4PyGTKg,2012-11-28T12:28:06Z,It Must Have Been Love - Roxette | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/roxette/it-must-have-been-love.html

Sing Online: https://www.karafun.com/karaoke/roxette/it-must-have-been-love/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of It Must Have Been Love as made famous by Roxette - This version is not the original version, and is not performed by Roxette. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Roxette",25046,9681189,219
HTXiC8g3F40,UCbqcG1rdt9LMwOJN4PyGTKg,2011-11-07T15:14:15Z,Total Eclipse of the Heart - Bonnie Tyler | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/bonnie-tyler/total-eclipse-of-the-heart.html

Sing Online: https://www.karafun.com/karaoke/bonnie-tyler/total-eclipse-of-the-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Total Eclipse of the Heart as made famous by Bonnie Tyler - This version is not the original version, and is not performed by Bonnie Tyler. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Bonnie Tyler",10220,6013883,284
3yCecD_23tA,UCbqcG1rdt9LMwOJN4PyGTKg,2011-12-07T14:37:19Z,Torn - Natalie Imbruglia | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/natalie-imbruglia/torn.html

Sing Online: https://www.karafun.com/karaoke/natalie-imbruglia/torn/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Torn as made famous by Natalie Imbruglia - This version is not the original version, and is not performed by Natalie Imbruglia. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Natalie Imbruglia",11670,6788815,381
qSBA4kWTPHY,UCbqcG1rdt9LMwOJN4PyGTKg,2014-01-15T11:52:56Z,Almost Is Never Enough - Ariana Grande feat. Nathan Sykes | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/ariana-grande/almost-is-never-enough.html

Sing Online: https://www.karafun.com/karaoke/ariana-grande/almost-is-never-enough/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Almost Is Never Enough as made famous by Ariana Grande feat. Nathan Sykes - This version is not the original version, and is not performed by Ariana Grande feat. Nathan Sykes. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Ariana Grande feat. Nathan Sykes",17251,4688935,313
D_6kIs60_q4,UCbqcG1rdt9LMwOJN4PyGTKg,2012-02-09T13:53:40Z,Stuck On You - Lionel Richie | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/lionel-richie/stuck-on-you.html

Sing Online: https://www.karafun.com/karaoke/lionel-richie/stuck-on-you/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Stuck On You as made famous by Lionel Richie - This version is not the original version, and is not performed by Lionel Richie. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Lionel Richie",24321,14167742,182
cb0JK8Mih3I,UCbqcG1rdt9LMwOJN4PyGTKg,2012-04-03T07:48:45Z,A Thousand Years - Christina Perri | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/christina-perri/a-thousand-years.html

Sing Online: https://www.karafun.com/karaoke/christina-perri/a-thousand-years/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of A Thousand Years as made famous by Christina Perri - This version is not the original version, and is not performed by Christina Perri. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Christina Perri",92466,25295307,4250
wTE9tzKbyoQ,UCbqcG1rdt9LMwOJN4PyGTKg,2012-04-05T11:28:09Z,Listen to Your Heart - Roxette | Karaoke Version | KaraFun,"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/roxette/listen-to-your-heart.html

Sing Online: https://www.karafun.com/karaoke/roxette/listen-to-your-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Listen to Your Heart as made famous by Roxette - This version is not the original version, and is not performed by Roxette. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Roxette",16744,5499787,264
