Column1;index;video_id;channel_id;published_date;video_title;video_description;likes;views;comment_count;Styles
10;10;u1YKQV9OE1I;UCbqcG1rdt9LMwOJN4PyGTKg;15.05.2012 11:33;Hero - Mariah Carey | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/mariah-carey/hero.html

Sing Online: https://www.karafun.com/karaoke/mariah-carey/hero/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Hero as made famous by Mariah Carey - This version is not the original version, and is not performed by Mariah Carey. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Mariah Carey";17165;9309891;348;Soft rock
11;11;Z-OLGoSmYWo;UCbqcG1rdt9LMwOJN4PyGTKg;22.05.2012 13:52;I Have Nothing - The Bodyguard (Whitney Houston) | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-bodyguard/i-have-nothing.html

Sing Online: https://www.karafun.com/karaoke/the-bodyguard/i-have-nothing/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of I Have Nothing as made famous by The Bodyguard (Whitney Houston) - This version is not the original version, and is not performed by The Bodyguard (Whitney Houston). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Bodyguard (Whitney Houston)";15459;8278897;506;TV & movie soundtrack,Love,Soul
12;12;UBsm8hq_r2A;UCbqcG1rdt9LMwOJN4PyGTKg;29.11.2011 16:06;Elle me dit - Mika | Karaoke Version | KaraFun;"Télécharger MP3 : https://www.version-karaoke.fr/playback-mp3/mika/elle-me-dit.html

Chanter en ligne : https://www.karafun.fr/karaoke/mika/elle-me-dit/


* Cette version contient un guide vocal d'apprentissage à faible volume. La version karaoké sans guide vocal est disponible sur www.karafun.fr. Cet enregistrement est une reprise de Elle me dit rendu célèbre par Mika - Le titre proposé est un Playback et non la musique originale, il n'est pas chanté par Mika. Cette version instrumentale/playback contient un guide vocal, les paroles et les choeurs.


Toutes les œuvres utilisées sur les chaînes KaraFun sont exploitées sous licence en accord avec les détenteurs de droits (composition musicale, ré-enregistrement sonore).

#karafun #karaoke #Mika";30868;8450085;1427;Pop,French pop
13;13;cJ-tBdK2d0k;UCbqcG1rdt9LMwOJN4PyGTKg;2.01.2012 15:17;House of the Rising Sun - The Animals | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-animals/house-of-the-rising-sun.html

Sing Online: https://www.karafun.com/karaoke/the-animals/house-of-the-rising-sun/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of House of the Rising Sun as made famous by The Animals - This version is not the original version, and is not performed by The Animals. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Animals";26055;9843968;597;Rock,Blues
14;14;7GyxwQHNfYQ;UCbqcG1rdt9LMwOJN4PyGTKg;3.04.2012 09:49;Tears in Heaven - Eric Clapton | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/eric-clapton/tears-in-heaven.html

Sing Online: https://www.karafun.com/karaoke/eric-clapton/tears-in-heaven/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Tears in Heaven as made famous by Eric Clapton - This version is not the original version, and is not performed by Eric Clapton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Eric Clapton";23894;10852853;454;Soft rock
15;15;eJKDa22mSdQ;UCbqcG1rdt9LMwOJN4PyGTKg;26.11.2014 11:08;Love Me With All Your Heart - Engelbert Humperdinck | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/engelbert-humperdinck/love-me-with-all-your-heart.html

Sing Online: https://www.karafun.com/karaoke/engelbert-humperdinck/love-me-with-all-your-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Love Me With All Your Heart as made famous by Engelbert Humperdinck - This version is not the original version, and is not performed by Engelbert Humperdinck. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Engelbert Humperdinck";45412;27324193;372;Love
16;16;DcmhqGrO1NU;UCbqcG1rdt9LMwOJN4PyGTKg;10.07.2015 10:53;I Just Fall In Love Again - Anne Murray | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/anne-murray/i-just-fall-in-love-again.html

Sing Online: https://www.karafun.com/karaoke/anne-murray/i-just-fall-in-love-again/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of I Just Fall In Love Again as made famous by Anne Murray - This version is not the original version, and is not performed by Anne Murray. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Anne Murray";35141;20843737;299;Soft rock
17;17;zf2V3HG6YgU;UCbqcG1rdt9LMwOJN4PyGTKg;26.07.2013 13:25;Can't Take My Eyes Off You - Frankie Valli & The Four Seasons | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/frankie-valli-and-the-four-seasons/can-t-take-my-eyes-off-you.html

Sing Online: https://www.karafun.com/karaoke/frankie-valli-and-the-four-seasons/can-t-take-my-eyes-off-you/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Can't Take My Eyes Off You as made famous by Frankie Valli & The Four Seasons - This version is not the original version, and is not performed by Frankie Valli & The Four Seasons. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Frankie Valli & The Four Seasons";35018;10372599;303;Pop
18;18;-dCVUUVX8uw;UCbqcG1rdt9LMwOJN4PyGTKg;31.03.2014 11:12;Unbreak My Heart - Toni Braxton | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/toni-braxton/unbreak-my-heart.html

Sing Online: https://www.karafun.com/karaoke/toni-braxton/unbreak-my-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Unbreak My Heart as made famous by Toni Braxton - This version is not the original version, and is not performed by Toni Braxton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Toni Braxton";29406;10896233;383;Love,Soul,R&B,Pop
19;19;-RdNw43s40s;UCbqcG1rdt9LMwOJN4PyGTKg;23.01.2012 13:57;Careless Whisper - George Michael (Wham!) | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/george-michael/careless-whisper.html

Sing Online: https://www.karafun.com/karaoke/george-michael/careless-whisper/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Careless Whisper as made famous by George Michael (Wham!) - This version is not the original version, and is not performed by George Michael (Wham!). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #George Michael (Wham!)";20399;8708475;304;Pop,Love
20;20;v1fLdvLaWV0;UCbqcG1rdt9LMwOJN4PyGTKg;5.07.2012 10:59;Summertime Sadness - Lana Del Rey | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/lana-del-rey/summertime-sadness.html

Sing Online: https://www.karafun.com/karaoke/lana-del-rey/summertime-sadness/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Summertime Sadness as made famous by Lana Del Rey - This version is not the original version, and is not performed by Lana Del Rey. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Lana Del Rey";33102;7133900;678;Alternative,Pop
21;21;XHlgt1JwZmc;UCbqcG1rdt9LMwOJN4PyGTKg;18.10.2013 13:18;My Immortal - Evanescence | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/evanescence/my-immortal.html

Sing Online: https://www.karafun.com/karaoke/evanescence/my-immortal/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of My Immortal as made famous by Evanescence - This version is not the original version, and is not performed by Evanescence. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Evanescence";19210;6584153;496;Rock
22;22;c6gmlJNIuQc;UCbqcG1rdt9LMwOJN4PyGTKg;4.09.2013 14:12;Wonderful Tonight - Eric Clapton | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/eric-clapton/wonderful-tonight.html

Sing Online: https://www.karafun.com/karaoke/eric-clapton/wonderful-tonight/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Wonderful Tonight as made famous by Eric Clapton - This version is not the original version, and is not performed by Eric Clapton. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Eric Clapton";29836;15130781;260;Soft rock
23;23;MOq2venhZZo;UCbqcG1rdt9LMwOJN4PyGTKg;26.07.2013 13:27;Karaoke Yo no sé mañana (salsa) - Luis Enrique *;"Descargar MP3: https://www.version-karaoke.es/playbacks/luis-enrique/yo-no-se-manana-salsa.html

Cantar Online: https://www.karafun.es/karaoke/luis-enrique/yo-no-se-manana-salsa/


* Esta versión contiene una guía vocal con bajo volumen. La versión con y sin la guía vocal está disponible en www.karafun.es. Esta grabación es una versión de Yo no sé mañana (salsa) hecha famosa por Luis Enrique - El título propuesto es una pista de fondo, no es la música original, no es cantada por Luis Enrique. Esta versión instrumental/reproducción contiene una guía vocal, las letras y las voces.


Todos los activos de los canales de KaraFun se utilizan con permiso mediante un acuerdo de licencia con los titulares de los derechos (composición musical, regrabado de sonido).

#karafun #karaoke #Luis Enrique";11843;7489056;123;Latin Music
24;24;Fl388or5BuU;UCbqcG1rdt9LMwOJN4PyGTKg;24.03.2015 11:06;A Whole New World - Aladdin | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/aladdin-1992-film/a-whole-new-world-aladdin-s-theme.html

Sing Online: https://www.karafun.com/karaoke/aladdin-1992-film/a-whole-new-world-aladdin-s-theme/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of A Whole New World (Aladdin's Theme) as made famous by Aladdin (1992 film) (Peabo Bryson & Regina Belle) - This version is not the original version, and is not performed by Aladdin (1992 film) (Peabo Bryson & Regina Belle). This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Aladdin (1992 film) (Peabo Bryson & Regina Belle)";24783;8674839;428;Musical,Kids,Duet
25;25;WSaLYhq-gD4;UCbqcG1rdt9LMwOJN4PyGTKg;22.11.2011 15:45;Rolling in the Deep (acoustic - live at Largo) - Adele | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/adele/rolling-in-the-deep-acoustic.html

Sing Online: https://www.karafun.com/karaoke/adele/rolling-in-the-deep-acoustic/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Rolling in the Deep (acoustic - live at Largo) as made famous by Adele - This version is not the original version, and is not performed by Adele. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Adele";13335;6149519;373;Pop,Soul
26;26;QZBCabZh3K0;UCbqcG1rdt9LMwOJN4PyGTKg;25.01.2012 14:23;The Power of Love - Céline Dion | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/celine-dion/the-power-of-love.html

Sing Online: https://www.karafun.com/karaoke/celine-dion/the-power-of-love/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of The Power of Love as made famous by Céline Dion - This version is not the original version, and is not performed by Céline Dion. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Céline Dion";18584;8355139;201;Pop,Love
27;27;0ukH4rBQE48;UCbqcG1rdt9LMwOJN4PyGTKg;6.08.2013 13:37;Let Her Go - Passenger | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/passenger/let-her-go.html

Sing Online: https://www.karafun.com/karaoke/passenger/let-her-go/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Let Her Go as made famous by Passenger - This version is not the original version, and is not performed by Passenger. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Passenger";20780;5771976;479;Folk,Pop
28;28;4C7Fmg3_mkw;UCbqcG1rdt9LMwOJN4PyGTKg;25.11.2011 14:20;Every Breath You Take - The Police | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/the-police/every-breath-you-take.html

Sing Online: https://www.karafun.com/karaoke/the-police/every-breath-you-take/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Every Breath You Take as made famous by The Police - This version is not the original version, and is not performed by The Police. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #The Police";10990;6206399;206;Pop,Rock
29;29;NMUFavYTN1o;UCbqcG1rdt9LMwOJN4PyGTKg;11.01.2012 14:56;Lemon Tree - Fool's Garden | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/fool-s-garden/lemon-tree.html

Sing Online: https://www.karafun.com/karaoke/fool-s-garden/lemon-tree/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Lemon Tree as made famous by Fool's Garden - This version is not the original version, and is not performed by Fool's Garden. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Fool's Garden";46013;10892316;901;Pop,Folk
30;30;IF2JAN9sDLg;UCbqcG1rdt9LMwOJN4PyGTKg;28.11.2012 13:28;It Must Have Been Love - Roxette | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/roxette/it-must-have-been-love.html

Sing Online: https://www.karafun.com/karaoke/roxette/it-must-have-been-love/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of It Must Have Been Love as made famous by Roxette - This version is not the original version, and is not performed by Roxette. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Roxette";25048;9682832;219;Love,Pop
31;31;HTXiC8g3F40;UCbqcG1rdt9LMwOJN4PyGTKg;7.11.2011 16:14;Total Eclipse of the Heart - Bonnie Tyler | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/bonnie-tyler/total-eclipse-of-the-heart.html

Sing Online: https://www.karafun.com/karaoke/bonnie-tyler/total-eclipse-of-the-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Total Eclipse of the Heart as made famous by Bonnie Tyler - This version is not the original version, and is not performed by Bonnie Tyler. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Bonnie Tyler";10221;6014148;284;Pop,Soft rock
32;32;3yCecD_23tA;UCbqcG1rdt9LMwOJN4PyGTKg;7.12.2011 15:37;Torn - Natalie Imbruglia | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/natalie-imbruglia/torn.html

Sing Online: https://www.karafun.com/karaoke/natalie-imbruglia/torn/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Torn as made famous by Natalie Imbruglia - This version is not the original version, and is not performed by Natalie Imbruglia. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Natalie Imbruglia";11683;6793501;381;Pop,Rock
33;33;qSBA4kWTPHY;UCbqcG1rdt9LMwOJN4PyGTKg;15.01.2014 12:52;Almost Is Never Enough - Ariana Grande feat. Nathan Sykes | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/ariana-grande/almost-is-never-enough.html

Sing Online: https://www.karafun.com/karaoke/ariana-grande/almost-is-never-enough/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Almost Is Never Enough as made famous by Ariana Grande feat. Nathan Sykes - This version is not the original version, and is not performed by Ariana Grande feat. Nathan Sykes. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Ariana Grande feat. Nathan Sykes";17251;4688951;313;TV & movie soundtrack,Soul,Duet,Pop,R&B
34;34;D_6kIs60_q4;UCbqcG1rdt9LMwOJN4PyGTKg;9.02.2012 14:53;Stuck On You - Lionel Richie | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/lionel-richie/stuck-on-you.html

Sing Online: https://www.karafun.com/karaoke/lionel-richie/stuck-on-you/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Stuck On You as made famous by Lionel Richie - This version is not the original version, and is not performed by Lionel Richie. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Lionel Richie";24324;14169349;182;Soft rock
35;36;wTE9tzKbyoQ;UCbqcG1rdt9LMwOJN4PyGTKg;5.04.2012 13:28;Listen to Your Heart - Roxette | Karaoke Version | KaraFun;"Download MP3: https://www.karaoke-version.com/mp3-backingtrack/roxette/listen-to-your-heart.html

Sing Online: https://www.karafun.com/karaoke/roxette/listen-to-your-heart/


* This version contains a low volume vocal guide to help you learn the song. The karaoke version without the vocal guide is available on www.karafun.com. This recording is a cover of Listen to Your Heart as made famous by Roxette - This version is not the original version, and is not performed by Roxette. This instrumental/playback version contains a vocal guide, the lyrics and backing vocals.


All the assets on KaraFun channels are used by permission under licensing agreement with rights holders (music composition, sound re-recording).

#karafun #karaoke #Roxette";16749;5501633;264;Pop,Rock,Love
